code,time,direct,action,price,qty,tag,fee,barno
TEST.rb.2610,202609010921,LONG,OPEN,1009.76,1,ma_cross,0,19
TEST.rb.2610,202609030909,LONG,CLOSE,1162.78,1,ma_cross,0,277
TEST.rb.2610,202609030909,SHORT,OPEN,1162.78,1,ma_cross,0,277
TEST.rb.2610,202609050909,SHORT,CLOSE,1008.82,1,ma_cross,0,547
TEST.rb.2610,202609050909,LONG,OPEN,1008.82,1,ma_cross,0,547
TEST.rb.2610,202609070909,LONG,CLOSE,1158.74,1,ma_cross,0,817
TEST.rb.2610,202609070909,SHORT,OPEN,1158.74,1,ma_cross,0,817
TEST.rb.2610,202609090908,SHORT,CLOSE,1020.04,1,ma_cross,0,1086
TEST.rb.2610,202609090908,LONG,OPEN,1020.04,1,ma_cross,0,1086
TEST.rb.2610,202609110907,LONG,CLOSE,1167.38,1,ma_cross,0,1355
TEST.rb.2610,202609110907,SHORT,OPEN,1167.38,1,ma_cross,0,1355
